Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
BFLY,2023-09-17,351280000.0,148660000.0,1.84 ,N/A ,-0.7468 ,N/A ,N/A ,15.97  
FIP,2023-09-17,351040000.0,97910000.0,1.07 ,N/A ,-1.8284 ,3.40  ,0.0300 ,4.98  
DOMO,2023-09-17,355420000.0,30550000.0,1.78 ,N/A ,-2.40 ,N/A ,N/A ,5.77  
VYGR,2023-09-17,349450000.0,34880000.0,1.30 ,3.52 ,2.26 ,N/A ,N/A ,5.96  
VKI,2023-09-17,N/A 
MTLS,2023-09-17,347910000.0,0 ,1.26 ,"1,591.89 ",0.00 ,N/A ,N/A ,N/A 
DPG,2023-09-17,N/A 
LPSN,2023-09-17,347150000.0,73100000.0,1.34 ,N/A ,-1.2200 ,N/A ,N/A ,7.45  
EOSE,2023-09-17,347050000.0,128360000.00000001,1.78 ,N/A ,-3.7532 ,N/A ,N/A ,26.91  
NXDT,2023-09-17,346070000.0,30330000.0,0.79 ,N/A ,N/A ,6.44  ,0.15 ,1.69  
LEO,2023-09-17,N/A 
AMLI,2023-09-17,338040000.0,208160000.0,1.64 ,N/A ,-0.1345 ,N/A ,N/A ,1.22  
LXRX,2023-09-17,342890000.0,240070000.0,1.17 ,N/A ,-0.6835 ,N/A ,N/A ,7.42  
PPT,2023-09-17,N/A 
ABUS,2023-09-17,341820000.0,125740000.0,1.29 ,N/A ,-0.4624 ,N/A ,N/A ,4.12  
AMPX,2023-09-17,339640000.0,14270000.0,0.87 ,N/A ,-0.2783 ,N/A ,N/A ,7.65  
LXFR,2023-09-17,339490000.0,26460000.0,0.98 ,22.70 ,0.56 ,4.12  ,0.13 ,0.45  
KALV,2023-09-17,337840000.0,27120000.0,0.76 ,N/A ,-3.16 ,N/A ,N/A ,14.30  
TDUP,2023-09-17,338140000.0,70350000.0,1.85 ,N/A ,-0.8038 ,N/A ,N/A ,10.79  
HQL,2023-09-17,N/A 
MYTE,2023-09-17,335350000.0,N/A ,1.45 ,N/A ,-0.1868 ,N/A ,N/A ,N/A 
PNTG,2023-09-17,335520000.0,27280000.0,1.43 ,26.16 ,0.43 ,N/A ,N/A ,1.04  
SCLX,2023-09-17,335370000.0,86230000.0,0.01 ,N/A ,-0.6273 ,N/A ,N/A ,3.02  
MUX,2023-09-17,334690000.0,39190000.0,0.72 ,N/A ,-2.36 ,N/A ,N/A ,4.29  
HUMA,2023-09-17,334610000.0,66340000.0,1.19 ,N/A ,-0.8591 ,N/A ,N/A ,5.73  
ALTO,2023-09-17,333250000.0,71370000.0,1.17 ,N/A ,-0.9297 ,N/A ,N/A ,2.72  
KODK,2023-09-17,335380000.0,62290000.0,1.21 ,6.76 ,0.6202 ,N/A ,N/A ,6.48  
ACIC,2023-09-17,332930000.0,19480000.0,0.81 ,N/A ,-2.10 ,0.00  ,0.06 ,6.16  
RXT,2023-09-17,332470000.0,49670000.0,1.78 ,N/A ,-6.4358 ,N/A ,N/A ,12.07  
GEVO,2023-09-17,332360000.0,228190000.0,1.38 ,N/A ,-0.4270 ,N/A ,N/A ,15.89  
AWP,2023-09-17,N/A 
BRW,2023-09-17,N/A 
AUDC,2023-09-17,327970000.0,22970000.0,0.95 ,24.29 ,0.43 ,3.46  ,0.18 ,0.78  
BFZ,2023-09-17,N/A 
KIO,2023-09-17,N/A 
AAOI,2023-09-17,328090000.0,29260000.0,1.27 ,N/A ,-2.41 ,N/A ,N/A ,20.24  
OSG,2023-09-17,327470000.0,53940000.0,1.01 ,7.75 ,0.5513 ,N/A ,N/A ,2.23  
PMVP,2023-09-17,325130000.0,34530000.0,1.35 ,N/A ,-1.62 ,N/A ,N/A ,15.96  
SIGA,2023-09-17,324850000.0,40450000.0,0.82 ,11.82 ,0.3867 ,0.00  ,0.4500 ,13.41  
BAND,2023-09-17,321730000.0,22700000.0,1.04 ,N/A ,-0.22 ,N/A ,N/A ,4.99  
ORGO,2023-09-17,321710000.0,78060000.0,1.06 ,32.36 ,0.0757 ,N/A ,N/A ,3.92  
INSE,2023-09-17,321310000.0,24530000.0,1.10 ,20.49 ,0.60 ,N/A ,N/A ,1.12  
BITF,2023-09-17,276770000.0,225910000.0,2.12 ,N/A ,-0.5900 ,N/A ,N/A ,2.74  
ABOS,2023-09-17,320010000.0,44110000.0,1.19 ,N/A ,-1.14 ,N/A ,N/A ,3.97  
CAN,2023-09-17,319670000.0,149260000.0,1.41 ,N/A ,-1.4726 ,N/A ,N/A ,7.04  
MCBC,2023-09-17,319600000.0,26030000.0,0.78 ,7.18 ,1.30 ,3.43  ,0.08 ,0.65  
SBT,2023-09-17,319230000.0,18060000.0,0.98 ,103.20 ,0.06 ,0.00  ,0.01 ,1.51  
FF,2023-09-17,319030000.0,25890000.0,0.89 ,7.61 ,0.96 ,3.29  ,0.06 ,4.46  
QSI,2023-09-17,317440000.0,98760000.0,1.92 ,N/A ,-0.8133 ,N/A ,N/A ,8.44  
RNGR,2023-09-17,317070000.0,13220000.0,0.32 ,9.74 ,1.33 ,1.55  ,0.05 ,2.45  
FNGR,2023-09-17,314010000.0,26830000.0,1.23 ,N/A ,-0.16 ,N/A ,N/A ,1.62  
EGHT,2023-09-17,315460000.0,114610000.0,1.51 ,N/A ,-0.5436 ,N/A ,N/A ,15.03  
HIX,2023-09-17,N/A 
MX,2023-09-17,315230000.0,38450000.0,1.02 ,N/A ,-0.91 ,N/A ,N/A ,1.67  
REAX,2023-09-17,315000000.0,88410000.0,0.75 ,N/A ,-0.1317 ,N/A ,N/A ,0.26  
SOHU,2023-09-17,314770000.0,33580000.0,1.04 ,N/A ,-1.98 ,N/A ,N/A ,0.51  
SJT,2023-09-17,314140000.0,44190000.0,0.67 ,3.34 ,2.02 ,27.90  ,0.02 ,1.97  
SCM,2023-09-17,313550000.0,21440000.0,1.10 ,16.96 ,0.82 ,11.51  ,0.13 ,0.97  
TERN,2023-09-17,312690000.0,39020000.0,0.72 ,N/A ,-1.29 ,N/A ,N/A ,12.26  
LVOX,2023-09-17,310870000.0,12400000.0,0.40 ,N/A ,-0.2864 ,N/A ,N/A ,8.06  
SWIM,2023-09-17,310070000.0,37250000.0,1.87 ,N/A ,-0.1419 ,N/A ,N/A ,3.85  
ONL,2023-09-17,308990000.0,54650000.0,0.77 ,N/A ,-1.71 ,7.34  ,0.10 ,5.93  
TAST,2023-09-17,325600000.0,33960000.0,1.39 ,N/A ,-0.34 ,0.00  ,0.41 ,4.88  
VLD,2023-09-17,308890000.0,95550000.0,2.28 ,N/A ,-0.6042 ,N/A ,N/A ,14.74  
MRNS,2023-09-17,308720000.0,47470000.0,1.36 ,N/A ,-0.15 ,N/A ,N/A ,7.56  
EDD,2023-09-17,N/A 
THCH,2023-09-17,321590000.0,34180000.0,0.31 ,7.53 ,0.2577 ,N/A ,N/A ,1.56  
MIN,2023-09-17,N/A 
